w0,w1,w2,w3,a0,a1,a2,a3,direction
170.0,90.0,230.0,310.0,0,0,48.0,2.0,2
180.0,90.0,220.0,310.0,0,0,38.0,2.0,2
190.0,90.0,210.0,310.0,0,0,28.0,2.0,2
200.0,90.0,200.0,310.0,0,0,18.0,2.0,2
210.0,90.0,190.0,310.0,53.0,176.0,0,0,2
210.0,100.0,190.0,300.0,53.0,166.0,0,0,3
210.0,110.0,190.0,290.0,53.0,156.0,0,0,3
210.0,120.0,190.0,280.0,53.0,146.0,0,0,3
210.0,130.0,190.0,270.0,53.0,136.0,0,0,3
210.0,140.0,190.0,260.0,53.0,126.0,0,0,3
210.0,150.0,190.0,250.0,53.0,116.0,0,0,3
210.0,160.0,190.0,240.0,53.0,106.0,0,0,3
210.0,170.0,190.0,230.0,53.0,96.0,0,0,3
210.0,180.0,190.0,220.0,53.0,86.0,0,0,3
210.0,190.0,190.0,210.0,53.0,76.0,0,0,3
210.0,200.0,190.0,200.0,53.0,66.0,0,0,3
210.0,210.0,190.0,190.0,53.0,56.0,0,0,3
210.0,220.0,190.0,180.0,53.0,46.0,0,0,3
210.0,230.0,190.0,170.0,53.0,36.0,0,0,3
210.0,240.0,190.0,160.0,53.0,26.0,0,0,3
210.0,250.0,190.0,150.0,53.0,16.0,0,0,3
210.0,260.0,190.0,140.0,53.0,6.0,0,0,3
200.0,260.0,200.0,140.0,43.0,6.0,0,0,0
190.0,260.0,210.0,140.0,33.0,6.0,0,0,0
180.0,260.0,220.0,140.0,23.0,6.0,0,0,0
170.0,260.0,230.0,140.0,13.0,6.0,0,0,0
160.0,260.0,240.0,140.0,0,21.0,115.0,0,0
160.0,270.0,240.0,130.0,0,11.0,115.0,0,3
160.0,280.0,240.0,120.0,0,1.0,115.0,0,3
170.0,280.0,230.0,120.0,0,1.0,105.0,0,2
180.0,280.0,220.0,120.0,0,1.0,95.0,0,2
190.0,280.0,210.0,120.0,0,1.0,85.0,0,2
200.0,280.0,200.0,120.0,0,1.0,75.0,0,2
210.0,280.0,190.0,120.0,0,1.0,65.0,0,2
220.0,280.0,180.0,120.0,0,1.0,55.0,0,2
230.0,280.0,170.0,120.0,0,1.0,45.0,0,2
240.0,280.0,160.0,120.0,0,1.0,35.0,0,2
250.0,280.0,150.0,120.0,0,1.0,25.0,0,2
260.0,280.0,140.0,120.0,0,1.0,15.0,0,2
270.0,280.0,130.0,120.0,203.0,0,0,150.0,2
270.0,270.0,130.0,130.0,203.0,0,0,140.0,1
270.0,260.0,130.0,140.0,203.0,0,0,130.0,1
270.0,250.0,130.0,150.0,203.0,0,0,120.0,1
270.0,240.0,130.0,160.0,203.0,0,0,110.0,1
270.0,230.0,130.0,170.0,203.0,0,0,100.0,1
270.0,220.0,130.0,180.0,203.0,0,0,90.0,1
270.0,210.0,130.0,190.0,203.0,0,0,80.0,1
270.0,200.0,130.0,200.0,203.0,0,0,70.0,1
270.0,190.0,130.0,210.0,203.0,0,0,60.0,1
270.0,180.0,130.0,220.0,203.0,0,0,50.0,1
270.0,170.0,130.0,230.0,203.0,0,0,40.0,1
270.0,160.0,130.0,240.0,203.0,0,0,30.0,1
270.0,150.0,130.0,250.0,203.0,0,0,20.0,1
270.0,140.0,130.0,260.0,203.0,0,0,10.0,1
270.0,130.0,130.0,270.0,203.0,0.0,0,0,1
260.0,130.0,140.0,270.0,193.0,0.0,0,0,0
250.0,130.0,150.0,270.0,183.0,0.0,0,0,0
240.0,130.0,160.0,270.0,173.0,0.0,0,0,0
230.0,130.0,170.0,270.0,163.0,0.0,0,0,0
220.0,130.0,180.0,270.0,153.0,0.0,0,0,0
210.0,130.0,190.0,270.0,143.0,0.0,0,0,0
200.0,130.0,200.0,270.0,133.0,0.0,0,0,0
190.0,130.0,210.0,270.0,123.0,0.0,0,0,0
180.0,130.0,220.0,270.0,113.0,0.0,0,0,0
170.0,130.0,230.0,270.0,103.0,0.0,0,0,0
160.0,130.0,240.0,270.0,93.0,0.0,0,0,0
150.0,130.0,250.0,270.0,83.0,0.0,0,0,0
140.0,130.0,260.0,270.0,73.0,0.0,0,0,0
130.0,130.0,270.0,270.0,63.0,0.0,0,0,0
120.0,130.0,280.0,270.0,53.0,0.0,0,0,0
110.0,130.0,290.0,270.0,43.0,0.0,0,0,0
100.0,130.0,300.0,270.0,33.0,0.0,0,0,0
90.0,130.0,310.0,270.0,23.0,0.0,0,0,0
80.0,130.0,320.0,270.0,13.0,0.0,0,0,0
70.0,130.0,330.0,270.0,0,0,23.0,72.0,0
70.0,120.0,330.0,280.0,0,0,23.0,62.0,1
70.0,110.0,330.0,290.0,0,0,23.0,52.0,1
70.0,100.0,330.0,300.0,0,0,23.0,42.0,1
70.0,90.0,330.0,310.0,0,0,23.0,32.0,1
70.0,80.0,330.0,320.0,0,0,23.0,22.0,1
70.0,70.0,330.0,330.0,0,0,23.0,12.0,1
70.0,60.0,330.0,340.0,0,0,23.0,2.0,1
80.0,60.0,320.0,340.0,0,0,13.0,2.0,2
90.0,60.0,310.0,340.0,0,0,108.0,4.0,2
100.0,60.0,300.0,340.0,0,0,98.0,4.0,2
110.0,60.0,290.0,340.0,0,0,88.0,4.0,2
120.0,60.0,280.0,340.0,0,0,78.0,4.0,2
130.0,60.0,270.0,340.0,0,0,68.0,4.0,2
140.0,60.0,260.0,340.0,0,0,58.0,4.0,2
150.0,60.0,250.0,340.0,0,0,48.0,4.0,2
160.0,60.0,240.0,340.0,0,0,38.0,4.0,2
170.0,60.0,230.0,340.0,0,0,28.0,4.0,2
180.0,60.0,220.0,340.0,0,0,18.0,4.0,2
190.0,60.0,210.0,340.0,0,148.0,105.0,0,2
190.0,70.0,210.0,330.0,0,138.0,105.0,0,3
190.0,80.0,210.0,320.0,0,128.0,105.0,0,3
190.0,90.0,210.0,310.0,0,118.0,105.0,0,3
190.0,100.0,210.0,300.0,0,108.0,105.0,0,3
190.0,110.0,210.0,290.0,0,98.0,105.0,0,3
190.0,120.0,210.0,280.0,0,88.0,105.0,0,3
190.0,130.0,210.0,270.0,0,78.0,105.0,0,3
190.0,140.0,210.0,260.0,0,68.0,105.0,0,3
190.0,150.0,210.0,250.0,0,58.0,105.0,0,3
190.0,160.0,210.0,240.0,0,48.0,105.0,0,3
190.0,170.0,210.0,230.0,0,38.0,105.0,0,3
190.0,180.0,210.0,220.0,0,28.0,105.0,0,3
190.0,190.0,210.0,210.0,0,18.0,105.0,0,3
190.0,200.0,210.0,200.0,0,8.0,105.0,0,3
190.0,210.0,210.0,190.0,0,0,105.0,2.0,3
200.0,210.0,200.0,190.0,0,0,95.0,2.0,2
210.0,210.0,190.0,190.0,0,0,85.0,2.0,2
220.0,210.0,180.0,190.0,0,0,75.0,2.0,2
230.0,210.0,170.0,190.0,0,0,65.0,2.0,2
240.0,210.0,160.0,190.0,0,0,55.0,2.0,2
250.0,210.0,150.0,190.0,0,0,45.0,2.0,2
260.0,210.0,140.0,190.0,0,0,35.0,2.0,2
